Call Number,Incident Number,Call Type,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Final Priority,ALS Unit,Call Type Group,Unit Type,Analysis Neighborhoods
160943727,16037460,Medical Incident,04/03/2016 11:15:12 PM,04/03/2016 11:18:05 PM,04/03/2016 11:18:33 PM,04/03/2016 11:18:45 PM,04/03/2016 11:35:10 PM,04/03/2016 11:46:08 PM,04/04/2016 12:11:46 AM,Code 2 Transport,04/04/2016 12:47:29 AM,POLK ST/CEDAR ST,San Francisco,94109.0,2,True,Non Life-threatening,MEDIC,36.0
161021964,16040565,Medical Incident,04/11/2016 01:14:47 PM,04/11/2016 01:19:53 PM,04/11/2016 01:20:42 PM,04/11/2016 01:21:06 PM,04/11/2016 01:27:48 PM,04/11/2016 02:14:47 PM,04/11/2016 02:33:36 PM,Code 2 Transport,04/11/2016 03:06:20 PM,VALENCIA ST/15TH ST,San Francisco,94103.0,2,False,Potentially Life-Threatening,PRIVATE,20.0
160930738,16036742,Structure Fire / Smoke in Building,04/02/2016 07:48:03 AM,04/02/2016 07:49:50 AM,04/02/2016 07:50:12 AM,04/02/2016 07:50:48 AM,,,,Fire,04/02/2016 07:55:35 AM,TURK ST/DODGE ST,San Francisco,94102.0,3,True,Alarm,MEDIC,36.0
160931745,16036856,Medical Incident,04/02/2016 01:08:02 PM,04/02/2016 01:09:44 PM,04/02/2016 01:10:16 PM,04/02/2016 01:13:09 PM,04/02/2016 01:15:07 PM,,,Against Medical Advice,04/02/2016 01:16:51 PM,WILLOW ST/LARKIN ST,San Francisco,94109.0,3,True,Potentially Life-Threatening,ENGINE,36.0
160921757,16036446,Medical Incident,04/01/2016 01:20:24 PM,04/01/2016 01:21:15 PM,04/01/2016 01:21:31 PM,04/01/2016 01:23:44 PM,04/01/2016 01:26:00 PM,,,Code 2 Transport,04/01/2016 01:47:39 PM,LA SALLE AVE/NEWHALL ST,San Francisco,94124.0,3,True,Potentially Life-Threatening,ENGINE,1.0
160982960,16039038,Traffic Collision,04/07/2016 05:35:19 PM,04/07/2016 05:35:19 PM,04/07/2016 05:36:19 PM,04/07/2016 05:38:10 PM,,,,Code 2 Transport,04/07/2016 05:44:50 PM,TAYLOR ST/OPAL PL,San Francisco,94102.0,3,True,Potentially Life-Threatening,ENGINE,36.0
160991136,16039249,Outside Fire,04/08/2016 10:28:58 AM,04/08/2016 10:29:28 AM,04/08/2016 10:38:28 AM,04/08/2016 10:38:28 AM,04/08/2016 10:38:28 AM,,,Fire,04/08/2016 10:38:49 AM,CALL BOX: ACADEMY OF SCIENCES,San Francisco,94118.0,3,False,Fire,TRUCK,12.0
161003584,16039985,Medical Incident,04/09/2016 11:07:48 PM,04/09/2016 11:07:48 PM,04/09/2016 11:08:49 PM,04/09/2016 11:08:59 PM,04/09/2016 11:20:30 PM,04/09/2016 11:32:15 PM,04/10/2016 12:27:05 AM,Code 2 Transport,04/10/2016 12:48:56 AM,REUEL CT/HUDSON AVE,San Francisco,94124.0,2,True,Non Life-threatening,MEDIC,1.0
160990236,16039173,Medical Incident,04/08/2016 02:13:27 AM,04/08/2016 02:21:26 AM,04/08/2016 02:24:49 AM,04/08/2016 02:24:54 AM,04/08/2016 02:30:33 AM,04/08/2016 02:36:18 AM,04/08/2016 02:43:35 AM,Code 2 Transport,04/08/2016 03:53:40 AM,EDDY ST/MASON ST,San Francisco,94102.0,2,True,Potentially Life-Threatening,MEDIC,36.0
161040898,16041202,Medical Incident,04/13/2016 08:52:01 AM,04/13/2016 08:52:28 AM,04/13/2016 08:53:03 AM,04/13/2016 08:54:04 AM,04/13/2016 09:09:02 AM,,,Code 2 Transport,04/13/2016 09:18:31 AM,04TH ST/WELSH ST,San Francisco,94107.0,3,True,Potentially Life-Threatening,RESCUE CAPTAIN,34.0
