Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,RowID,case_location,data_as_of,data_loaded_at,Analysis Neighborhoods
160943727,53,16037460,Medical Incident,04/03/2016,04/03/2016,04/03/2016 11:15:12 PM,04/03/2016 11:18:05 PM,04/03/2016 11:18:33 PM,04/03/2016 11:18:45 PM,04/03/2016 11:35:10 PM,04/03/2016 11:46:08 PM,04/04/2016 12:11:46 AM,Code 2 Transport,04/04/2016 12:47:29 AM,POLK ST/CEDAR ST,San Francisco,94109,B04,03,3121,2,2,2,true,Non Life-threatening,1,MEDIC,2,4,6,Tenderloin,160943727-53,POINT (-122.41983 37.786358),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,36
161021964,AM14,16040565,Medical Incident,04/11/2016,04/11/2016,04/11/2016 01:14:47 PM,04/11/2016 01:19:53 PM,04/11/2016 01:20:42 PM,04/11/2016 01:21:06 PM,04/11/2016 01:27:48 PM,04/11/2016 02:14:47 PM,04/11/2016 02:33:36 PM,Code 2 Transport,04/11/2016 03:06:20 PM,VALENCIA ST/15TH ST,San Francisco,94103,B02,06,5226,2,2,2,false,Potentially Life-Threatening,1,PRIVATE,1,2,9,Mission,161021964-AM14,POINT (-122.42204 37.76654),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,20
160930738,85,16036742,Structure Fire / Smoke in Building,04/02/2016,04/01/2016,04/02/2016 07:48:03 AM,04/02/2016 07:49:50 AM,04/02/2016 07:50:12 AM,04/02/2016 07:50:48 AM,,,,Fire,04/02/2016 07:55:35 AM,TURK ST/DODGE ST,San Francisco,94102,B02,03,1554,3,3,3,true,Alarm,1,MEDIC,10,2,6,Tenderloin,160930738-85,POINT (-122.416985 37.78242),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,36
160931745,E03,16036856,Medical Incident,04/02/2016,04/02/2016,04/02/2016 01:08:02 PM,04/02/2016 01:09:44 PM,04/02/2016 01:10:16 PM,04/02/2016 01:13:09 PM,04/02/2016 01:15:07 PM,,,Against Medical Advice,04/02/2016 01:16:51 PM,WILLOW ST/LARKIN ST,San Francisco,94109,B02,03,1643,3,3,3,true,Potentially Life-Threatening,1,ENGINE,2,2,6,Tenderloin,160931745-E03,POINT (-122.41762 37.78378),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,36
160921757,E09,16036446,Medical Incident,04/01/2016,04/01/2016,04/01/2016 01:20:24 PM,04/01/2016 01:21:15 PM,04/01/2016 01:21:31 PM,04/01/2016 01:23:44 PM,04/01/2016 01:26:00 PM,,,Code 2 Transport,04/01/2016 01:47:39 PM,LA SALLE AVE/NEWHALL ST,San Francisco,94124,B10,25,6467,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,10,10,Bayview Hunters Point,160921757-E09,POINT (-122.39052 37.73754),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,1
160982960,E01,16039038,Traffic Collision,04/07/2016,04/07/2016,04/07/2016 05:35:19 PM,04/07/2016 05:35:19 PM,04/07/2016 05:36:19 PM,04/07/2016 05:38:10 PM,,,,Code 2 Transport,04/07/2016 05:44:50 PM,TAYLOR ST/OPAL PL,San Francisco,94102,B03,01,1454,3,3,3,true,Potentially Life-Threatening,1,ENGINE,3,3,6,Tenderloin,160982960-E01,POINT (-122.4107 37.782894),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,36
160991136,T14,16039249,Outside Fire,04/08/2016,04/08/2016,04/08/2016 10:28:58 AM,04/08/2016 10:29:28 AM,04/08/2016 10:38:28 AM,04/08/2016 10:38:28 AM,04/08/2016 10:38:28 AM,,,Fire,04/08/2016 10:38:49 AM,CALL BOX: ACADEMY OF SCIENCES,San Francisco,94118,B07,22,7744,3,3,3,false,Fire,1,TRUCK,2,7,7,Golden Gate Park,160991136-T14,POINT (-122.464357976 37.769734903),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,12
161003584,70,16039985,Medical Incident,04/09/2016,04/09/2016,04/09/2016 11:07:48 PM,04/09/2016 11:07:48 PM,04/09/2016 11:08:49 PM,04/09/2016 11:08:59 PM,04/09/2016 11:20:30 PM,04/09/2016 11:32:15 PM,04/10/2016 12:27:05 AM,Code 2 Transport,04/10/2016 12:48:56 AM,REUEL CT/HUDSON AVE,San Francisco,94124,B10,25,6565,2,2,2,true,Non Life-threatening,1,MEDIC,1,10,10,Bayview Hunters Point,161003584-70,POINT (-122.38364 37.736603),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,1
160990236,65,16039173,Medical Incident,04/08/2016,04/07/2016,04/08/2016 02:13:27 AM,04/08/2016 02:21:26 AM,04/08/2016 02:24:49 AM,04/08/2016 02:24:54 AM,04/08/2016 02:30:33 AM,04/08/2016 02:36:18 AM,04/08/2016 02:43:35 AM,Code 2 Transport,04/08/2016 03:53:40 AM,EDDY ST/MASON ST,San Francisco,94102,B03,01,1365,2,2,2,true,Potentially Life-Threatening,1,MEDIC,1,3,6,Tenderloin,160990236-65,POINT (-122.40931 37.784348),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,36
161040898,RC2,16041202,Medical Incident,04/13/2016,04/13/2016,04/13/2016 08:52:01 AM,04/13/2016 08:52:28 AM,04/13/2016 08:53:03 AM,04/13/2016 08:54:04 AM,04/13/2016 09:09:02 AM,,,Code 2 Transport,04/13/2016 09:18:31 AM,04TH ST/WELSH ST,San Francisco,94107,B03,08,2242,E,E,3,true,Potentially Life-Threatening,1,RESCUE CAPTAIN,2,3,6,South of Market,161040898-RC2,POINT (-122.39754 37.779133),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,34
160950115,64,16037480,Medical Incident,04/04/2016,04/03/2016,04/04/2016 01:12:39 AM,04/04/2016 01:13:11 AM,04/04/2016 01:13:24 AM,04/04/2016 01:13:39 AM,04/04/2016 01:18:58 AM,04/04/2016 01:48:27 AM,04/04/2016 02:01:42 AM,Code 2 Transport,04/04/2016 02:48:16 AM,PLYMOUTH AVE/BROAD ST,San Francisco,94112,B09,33,8374,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,9,11,Oceanview/Merced/Ingleside,160950115-64,POINT (-122.456055 37.713192),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,24
161013005,RS2,16040304,Structure Fire / Smoke in Building,04/10/2016,04/10/2016,04/10/2016 07:29:22 PM,04/10/2016 07:30:15 PM,04/10/2016 07:30:27 PM,04/10/2016 07:31:16 PM,,,,Code 2 Transport,04/10/2016 07:36:18 PM,45TH AVE/LINCOLN WAY,San Francisco,94122,B08,23,7654,3,3,3,false,Alarm,1,RESCUE SQUAD,10,8,1,Golden Gate Park,161013005-RS2,POINT (-122.50512 37.764214),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,12
160960310,RC2,16037872,Medical Incident,04/05/2016,04/04/2016,04/05/2016 04:03:12 AM,04/05/2016 04:04:35 AM,04/05/2016 04:08:06 AM,04/05/2016 04:09:57 AM,,,,Code 2 Transport,04/05/2016 04:12:29 AM,TARAVAL ST/18TH AVE,San Francisco,94116,B08,40,7416,3,E,3,true,Potentially Life-Threatening,1,RESCUE CAPTAIN,4,8,7,West of Twin Peaks,160960310-RC2,POINT (-122.474625 37.743095),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,41
161021580,E09,16040530,Other,04/11/2016,04/11/2016,04/11/2016 11:43:13 AM,04/11/2016 11:43:13 AM,04/11/2016 11:43:29 AM,04/11/2016 11:43:29 AM,,,,Fire,04/11/2016 11:57:31 AM,HOLLADAY AVE/PERALTA AVE,San Francisco,94110,B10,09,6375,3,3,3,true,Alarm,1,ENGINE,2,10,9,Bernal Heights,161021580-E09,POINT (-122.40494 37.748222),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,2
160983171,83,16039061,Medical Incident,04/07/2016,04/07/2016,04/07/2016 06:29:45 PM,04/07/2016 06:31:02 PM,04/07/2016 06:31:22 PM,04/07/2016 06:31:29 PM,04/07/2016 06:37:29 PM,,,Patient Declined Transport,04/07/2016 07:24:27 PM,ENTERPRISE ST/FOLSOM ST,San Francisco,94110,B02,07,5237,2,2,2,true,Non Life-threatening,1,MEDIC,1,2,9,Mission,160983171-83,POINT (-122.41525 37.764706),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,20
160933464,T19,16037049,Structure Fire / Smoke in Building,04/02/2016,04/02/2016,04/02/2016 09:17:48 PM,04/02/2016 09:18:25 PM,04/02/2016 09:18:58 PM,04/02/2016 09:19:58 PM,04/02/2016 09:24:04 PM,,,Fire,04/02/2016 09:26:39 PM,18TH AVE/VICENTE ST,San Francisco,94116,B08,40,7415,3,3,3,false,Alarm,1,TRUCK,2,8,7,West of Twin Peaks,160933464-T19,POINT (-122.474365 37.739372),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,41
160941221,RS2,16037212,Medical Incident,04/03/2016,04/03/2016,04/03/2016 10:11:15 AM,04/03/2016 10:11:15 AM,04/03/2016 10:13:33 AM,04/03/2016 10:13:33 AM,,,,No Merit,04/03/2016 10:18:14 AM,VICENTE ST/GREAT HWY,San Francisco,94116,B08,23,7732,3,3,3,false,Non Life-threatening,1,RESCUE SQUAD,8,8,4,Sunset/Parkside,160941221-RS2,POINT (-122.50644 37.73796),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,35
160983520,65,16039094,Medical Incident,04/07/2016,04/07/2016,04/07/2016 08:07:15 PM,04/07/2016 08:09:30 PM,04/07/2016 08:09:48 PM,04/07/2016 08:10:00 PM,04/07/2016 08:28:37 PM,04/07/2016 08:35:17 PM,04/07/2016 08:50:09 PM,Code 2 Transport,04/07/2016 09:33:33 PM,FOLSOM ST/20TH ST,San Francisco,94110,B06,07,5447,2,2,2,true,Non Life-threatening,1,MEDIC,1,6,9,Mission,160983520-65,POINT (-122.41469 37.758896),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,20
